gene_idx,raw_train_pcc,direct_train_pcc,ridge_train_pcc,stack_train_pcc,decision
0,0.19897553324699402,0.2545427083969116,0.2079523652791977,0.23088058829307556,direct(broken_raw)
1,0.6087337136268616,0.6510974168777466,0.6448789834976196,0.6534134745597839,stack
2,0.1838470846414566,0.21064679324626923,0.19481678307056427,0.20538954436779022,stack
3,0.23621200025081635,0.29351216554641724,0.2611251473426819,0.27200832962989807,direct(broken_raw)
4,0.354917049407959,0.4189157485961914,0.3879539370536804,0.39849475026130676,direct(broken_raw)
5,0.3333412706851959,0.3459979295730591,0.31510645151138306,0.3379746973514557,stack
6,0.12277330458164215,0.13231775164604187,0.10940541326999664,0.13020847737789154,stack
7,0.23534534871578217,0.32506710290908813,0.29297345876693726,0.3126789927482605,direct(broken_raw)
8,0.2130131721496582,0.3020962178707123,0.2175189107656479,0.2590121924877167,direct(broken_raw)
9,0.42016735672950745,0.4678897559642792,0.4180625379085541,0.43495139479637146,stack
10,0.40397876501083374,0.438999205827713,0.4290260076522827,0.43675142526626587,stack
11,0.1592925786972046,0.19187265634536743,0.19937323033809662,0.20352518558502197,stack
12,0.19028083980083466,0.22914721071720123,0.23367612063884735,0.23889929056167603,stack
13,0.05689958855509758,0.0848722755908966,0.05559106543660164,0.06841475516557693,stack
14,0.5785495042800903,0.6701931357383728,0.506007194519043,0.5963426828384399,stack
15,0.5167399048805237,0.6334640383720398,0.463850736618042,0.534639298915863,stack
16,0.45998504757881165,0.538506269454956,0.3779173195362091,0.4693302810192108,stack
17,0.3682405948638916,0.5127500891685486,0.34678810834884644,0.3992498815059662,direct(broken_raw)
18,0.5408336520195007,0.6259427070617676,0.46796584129333496,0.5556076169013977,stack
19,0.5348883867263794,0.6226997375488281,0.44707146286964417,0.5467622876167297,stack
20,0.835701584815979,0.8584856390953064,0.817550003528595,0.8453893065452576,stack
21,0.785029947757721,0.8091264367103577,0.7765727043151855,0.7986592054367065,stack
22,0.03661278635263443,0.08072986453771591,0.07295691221952438,0.07559303194284439,stack
23,0.23733913898468018,0.2499973624944687,0.23303548991680145,0.24944373965263367,stack
24,0.4184347689151764,0.4417436122894287,0.4184134006500244,0.4331131875514984,stack
25,0.24940896034240723,0.3901400864124298,0.35174891352653503,0.3573107123374939,direct(broken_raw)
26,0.10680446028709412,0.1560741811990738,0.1107921153306961,0.1295575499534607,stack
27,0.03776637092232704,0.11842507123947144,0.0958242416381836,0.09397660195827484,direct(broken_raw)
28,0.13095532357692719,0.17094328999519348,0.13305939733982086,0.1447421759366989,stack
29,0.4390072524547577,0.5292217135429382,0.4812779724597931,0.5109038352966309,stack
30,0.3424801826477051,0.3628155291080475,0.3565869927406311,0.3647325932979584,stack
31,0.31015583872795105,0.38948825001716614,0.34699100255966187,0.3604567050933838,direct(broken_raw)
32,0.3747987151145935,0.4020531177520752,0.38309502601623535,0.39356791973114014,stack
33,0.7337642908096313,0.7592563033103943,0.754378080368042,0.769661009311676,stack
34,0.10764811933040619,0.14742694795131683,0.12256630510091782,0.13088074326515198,stack
35,0.5744407176971436,0.5990819334983826,0.5822205543518066,0.5947614312171936,stack
36,0.454499214887619,0.5042610168457031,0.47910523414611816,0.48933762311935425,stack
37,0.11295658349990845,0.13850389420986176,0.11247801780700684,0.1279531866312027,stack
38,0.36858564615249634,0.3766939640045166,0.34938812255859375,0.37839972972869873,stack
39,0.2988872528076172,0.3428347408771515,0.30113938450813293,0.3207099735736847,stack
40,0.2112802267074585,0.2369595468044281,0.20136666297912598,0.22511674463748932,stack
41,0.7414456605911255,0.7664761543273926,0.7497056722640991,0.7653141021728516,stack
42,0.11196713149547577,0.23885062336921692,0.13265548646450043,0.15326616168022156,direct(broken_raw)
43,0.5307490825653076,0.6364510655403137,0.4155167043209076,0.5252228379249573,raw
44,0.5968977808952332,0.6347718238830566,0.6163759231567383,0.6320589780807495,stack
45,0.29686254262924194,0.38747721910476685,0.325914204120636,0.36002451181411743,direct(broken_raw)
46,0.2355724275112152,0.2757779657840729,0.26137566566467285,0.269027978181839,stack
47,-0.002971107140183449,0.012525225058197975,0.011312799528241158,0.010181255638599396,stack
48,0.3610619008541107,0.39000439643859863,0.3619542419910431,0.3819868862628937,stack
49,0.32636040449142456,0.3840920925140381,0.3390047252178192,0.34843650460243225,direct(broken_raw)
50,-0.008446059189736843,0.0751282125711441,0.027325475588440895,0.027772558853030205,direct(broken_raw)
51,0.001730591175146401,0.048287875950336456,0.014297724701464176,0.009363748133182526,stack
52,0.3857738673686981,0.5212352871894836,0.3641842305660248,0.424861341714859,direct(broken_raw)
53,0.5114405155181885,0.5822319984436035,0.47914305329322815,0.5410693883895874,stack
54,0.6176603436470032,0.6390327215194702,0.6111927032470703,0.6299869418144226,stack
55,0.30908694863319397,0.4285253584384918,0.37370428442955017,0.39713171124458313,direct(broken_raw)
56,0.46781671047210693,0.48230475187301636,0.4589235782623291,0.4788735508918762,stack
57,-0.018940698355436325,0.0668581873178482,0.038503747433423996,0.03978556767106056,direct(broken_raw)
58,-0.024125508964061737,0.07747206091880798,0.05443520471453667,0.05726505070924759,direct(broken_raw)
59,0.15455253422260284,0.1872325837612152,0.18063414096832275,0.18734222650527954,stack
60,0.1909026801586151,0.26874127984046936,0.245949849486351,0.2616724371910095,direct(broken_raw)
61,0.07356541603803635,0.08565237373113632,0.051049236208200455,0.06838620454072952,raw
62,0.20270656049251556,0.2183895707130432,0.1924574375152588,0.21097099781036377,stack
63,0.2576438784599304,0.47292959690093994,0.25842246413230896,0.3139951527118683,direct(broken_raw)
64,0.16071033477783203,0.22560787200927734,0.158392071723938,0.18050400912761688,direct(broken_raw)
65,0.38773998618125916,0.4197247624397278,0.39451587200164795,0.4111359715461731,stack
66,0.20718525350093842,0.24104057252407074,0.21048098802566528,0.22729924321174622,stack
67,0.014576850458979607,0.01694387011229992,0.027890237048268318,0.02375727891921997,stack
68,0.11385904997587204,0.14161980152130127,0.1002873107790947,0.12003787606954575,stack
69,0.15774475038051605,0.18128332495689392,0.14269883930683136,0.16467423737049103,stack
70,0.4684346318244934,0.5078566074371338,0.4836755394935608,0.503364622592926,stack
71,0.4924744963645935,0.5291816592216492,0.5102156400680542,0.5306110382080078,stack
72,0.4790922701358795,0.5214899778366089,0.48256221413612366,0.503883957862854,stack
73,0.41382870078086853,0.47932082414627075,0.43141815066337585,0.459846168756485,stack
74,0.1163402572274208,0.14932392537593842,0.10541950166225433,0.1284034699201584,stack
75,0.07534358650445938,0.22739869356155396,0.14023038744926453,0.14626391232013702,direct(broken_raw)
76,0.1960962861776352,0.34603404998779297,0.1834060549736023,0.22260230779647827,direct(broken_raw)
77,0.23144173622131348,0.26212242245674133,0.23287220299243927,0.24536046385765076,stack
78,0.04834475368261337,0.12774522602558136,0.09693662077188492,0.09473930299282074,direct(broken_raw)
79,0.21012550592422485,0.25085344910621643,0.299432635307312,0.3060670793056488,stack
80,0.698728621006012,0.7413612604141235,0.7284110188484192,0.7435758113861084,stack
81,0.25129857659339905,0.299201637506485,0.26596537232398987,0.28788313269615173,stack
82,0.38110435009002686,0.41002532839775085,0.4023246765136719,0.41038957238197327,stack
83,0.17161442339420319,0.2004765421152115,0.19580473005771637,0.20276786386966705,stack
84,0.514158308506012,0.5887418389320374,0.521928608417511,0.5412256121635437,stack
85,0.442241370677948,0.5339841246604919,0.41126585006713867,0.4673827886581421,stack
86,0.6455361843109131,0.6681973934173584,0.694323718547821,0.6990708708763123,stack
87,0.1998913288116455,0.2208547294139862,0.1771303415298462,0.20623257756233215,stack
88,0.2731209099292755,0.28615662455558777,0.26953360438346863,0.2853147089481354,stack
89,0.12359333038330078,0.1650606244802475,0.13042591512203217,0.1457841694355011,stack
90,0.30143386125564575,0.3956542909145355,0.3493189811706543,0.3769010901451111,direct(broken_raw)
91,0.13595078885555267,0.19547660648822784,0.1632171869277954,0.17862796783447266,direct(broken_raw)
92,0.02639651484787464,0.04247598722577095,0.025180213153362274,0.02630435861647129,raw
93,0.2832429111003876,0.3166409134864807,0.2907992899417877,0.30677610635757446,stack
94,0.08347588777542114,0.10502047836780548,0.07510869204998016,0.08990786224603653,stack
95,0.2612000107765198,0.27925142645835876,0.26869234442710876,0.28137242794036865,stack
96,0.2586890161037445,0.3059297502040863,0.25130754709243774,0.28251129388809204,stack
97,0.5942370295524597,0.6437594890594482,0.5904441475868225,0.609134316444397,stack
98,0.45158490538597107,0.470427930355072,0.4601081907749176,0.4722595810890198,stack
99,0.07693878561258316,0.19936636090278625,0.09444404393434525,0.10771986842155457,direct(broken_raw)
100,0.7424708008766174,0.7911144495010376,0.728123128414154,0.7573919892311096,stack
101,0.083095982670784,0.19648206233978271,0.10586798936128616,0.1071600690484047,direct(broken_raw)
102,0.27102577686309814,0.3071453869342804,0.2749094069004059,0.29162976145744324,stack
103,0.1842418611049652,0.2787683606147766,0.24373765289783478,0.25350525975227356,direct(broken_raw)
104,0.23750868439674377,0.2620457112789154,0.23654486238956451,0.25244489312171936,stack
105,0.44773465394973755,0.476782888174057,0.4543822407722473,0.46634212136268616,stack
106,0.5747596025466919,0.6188002824783325,0.5546248555183411,0.5883346199989319,stack
107,0.5293574333190918,0.6819305419921875,0.5203434824943542,0.561424195766449,stack
108,0.2724863588809967,0.29847729206085205,0.276244193315506,0.28763052821159363,stack
109,0.4956037700176239,0.6313127279281616,0.49043160676956177,0.5331696271896362,stack
110,0.577435314655304,0.6449515223503113,0.6053485870361328,0.6207778453826904,stack
111,0.4053390622138977,0.4282171428203583,0.39907053112983704,0.4164113700389862,stack
112,0.32039812207221985,0.34329360723495483,0.34861379861831665,0.35492175817489624,stack
113,0.32176175713539124,0.41137757897377014,0.38855117559432983,0.3958654999732971,direct(broken_raw)
114,0.12968307733535767,0.17974510788917542,0.12625470757484436,0.14789952337741852,direct(broken_raw)
115,0.00929415225982666,0.007518741302192211,0.04261838272213936,0.03807978332042694,stack
116,0.3961445093154907,0.4133979082107544,0.4005083441734314,0.41188013553619385,stack
117,0.35942283272743225,0.3773994743824005,0.37708184123039246,0.38568878173828125,stack
118,0.4179154336452484,0.4383183717727661,0.4086671471595764,0.42859938740730286,stack
119,0.06393656134605408,0.13789528608322144,0.09575270116329193,0.09584503620862961,direct(broken_raw)
120,0.21054348349571228,0.2788683772087097,0.20854096114635468,0.24567864835262299,direct(broken_raw)
121,0.06435118615627289,0.14994511008262634,0.10638564825057983,0.10644428431987762,direct(broken_raw)
122,0.2539466321468353,0.28762340545654297,0.24446344375610352,0.26175206899642944,stack
123,0.3357522189617157,0.3597366213798523,0.32857081294059753,0.3468235433101654,stack
124,0.2299574464559555,0.24610288441181183,0.22493976354599,0.2407398521900177,stack
125,0.00034087177482433617,0.08168216049671173,0.04679553583264351,0.04318585991859436,direct(broken_raw)
126,0.24759790301322937,0.31139037013053894,0.25428175926208496,0.27350905537605286,direct(broken_raw)
127,0.2183922529220581,0.25557437539100647,0.24031348526477814,0.25401750206947327,stack
128,0.23305723071098328,0.284908264875412,0.24569419026374817,0.2623021602630615,direct(broken_raw)
129,0.7956302165985107,0.824738085269928,0.7817308306694031,0.8076691031455994,stack
130,0.18780845403671265,0.21510905027389526,0.1751100867986679,0.19837145507335663,stack
131,-0.02556489035487175,0.05962490290403366,0.02219492942094803,0.031786274164915085,direct(broken_raw)
132,0.39303386211395264,0.42863360047340393,0.3988560140132904,0.4200287163257599,stack
133,0.34451761841773987,0.37353697419166565,0.3558889329433441,0.3664426803588867,stack
134,0.455271452665329,0.5163251757621765,0.4731441140174866,0.4900304675102234,stack
135,0.07665766030550003,0.14849554002285004,0.08549856394529343,0.08809177577495575,direct(broken_raw)
136,0.34378281235694885,0.45274561643600464,0.3920420706272125,0.4147109091281891,direct(broken_raw)
137,0.4644957184791565,0.4917897582054138,0.44919535517692566,0.47311681509017944,stack
138,0.0281817764043808,0.07753481715917587,0.048631295561790466,0.05256015807390213,stack
139,0.10607306659221649,0.13221655786037445,0.10557498037815094,0.11977403610944748,stack
140,0.24374394118785858,0.27223727107048035,0.25977060198783875,0.26782211661338806,stack
141,0.20626097917556763,0.2757018208503723,0.25427842140197754,0.26859191060066223,direct(broken_raw)
142,0.31008437275886536,0.32570144534111023,0.31440454721450806,0.3258987367153168,stack
143,0.17272219061851501,0.26784104108810425,0.2262261062860489,0.23768790066242218,direct(broken_raw)
144,0.10642547905445099,0.15998706221580505,0.17089255154132843,0.17986488342285156,direct(broken_raw)
145,0.3563382923603058,0.3807959258556366,0.3659452795982361,0.38041165471076965,stack
146,0.5013453960418701,0.5404044389724731,0.5116435885429382,0.5270563364028931,stack
147,0.15540334582328796,0.24332772195339203,0.21118898689746857,0.22357401251792908,direct(broken_raw)
148,0.581886351108551,0.6125962734222412,0.6204532980918884,0.6267648935317993,stack
149,0.4577145278453827,0.484502911567688,0.45572853088378906,0.4748304486274719,stack
150,0.14863541722297668,0.16744489967823029,0.14145207405090332,0.1608634740114212,stack
151,0.1501133143901825,0.187247171998024,0.1661681830883026,0.1780228167772293,stack
152,0.1445106416940689,0.1663980633020401,0.16171005368232727,0.17100609838962555,stack
153,0.19749383628368378,0.21306674182415009,0.1808808445930481,0.20221377909183502,stack
154,0.15517958998680115,0.18918174505233765,0.16859382390975952,0.17902842164039612,stack
155,-0.0024801515974104404,0.11571980267763138,0.028597723692655563,0.027925290167331696,direct(broken_raw)
156,0.39429253339767456,0.42748570442199707,0.3881564736366272,0.40857481956481934,stack
157,0.15179087221622467,0.18481402099132538,0.1379934698343277,0.16578972339630127,stack
158,0.3579139709472656,0.4540398120880127,0.38708099722862244,0.4234221577644348,direct(broken_raw)
159,0.14053748548030853,0.20071035623550415,0.14009441435337067,0.16412027180194855,direct(broken_raw)
160,0.38479191064834595,0.4109829366207123,0.3792000412940979,0.4050837457180023,stack
161,0.5433333516120911,0.5698129534721375,0.544150710105896,0.5635536313056946,stack
162,0.3121320903301239,0.32145828008651733,0.3166283667087555,0.32659798860549927,stack
